PROLIFIC_PID,GROUP
a155d37a45ba76adb6582c15757bb42369bfdbcc45e96f92b8a01544b6651fcc,1
9e05ab6a23383ed68859e280ff196a5d0e9d10fdabecea5bbfb54c275943741c,0
382afa077459411a4ae58c839879b2756806093ca163e7a32a5586596935c405,0
00d75f00f03923c234134194b5313f73ed48246757d1056cee1d3acbbf5c401d,0
450300f421ef2f85e04c69e3ec778232d57a3fa83b498a0a421ddc1c95c0f867,0
597bed2e77bf66a7f7483394b869d328ad0bfa0bdb2a293a8d3f4531d5b44b65,0
3987c615857edd5c0dd091db195e5d66cf1abd409d0527c44157961dc2ea0c70,1
aa26aa258e16a1041cb11a1079198b13e21b700f26963f8990930a15161bd2c3,1
d97fb9f6d5e290c30e5e39a64a08ca7415fe35362f7239d3fe06eb833d253031,1
7ef485050cf420f59a1ca2569e54267cbd0e0d8f33fb52eb5568f148731fbc96,0
d4da8307b7ee3d0b88336da2fbcb8ea619a65597612a4c67311b4233bd55e491,0
79a75fa21aa35d74c1863543f3a543620406ba451b6dd749c957162ec5fd1de6,0
e6449baf09f32f929ceec574a19d2d13325d3e413f6c76314d5cd94c5542ed6b,0
82d11abaa0a046679ac552cda39d0cc4eb1e3985630fae52e690734cbd42c510,1
1ebd73cfa06073fe480b00c8d52d11560140a890cee30da2394235c9474dbc7b,0
bb71d37ea11c0424eebfb0d942d059f6c80afeefca4c7f137f9842fda308cf72,1
6bce5aeab6613dc7a3d35e93e34cf9da8f57921cfa7d869d3f7d34fb84eb5ca4,0
2089f1d7beae3ae368e3b4b96f8f3ee16e919f38c026ff2c8b539fe506890362,1
5e3946ee00c5676f5ce562c85c8da9a812f0878bd5d545c641a16d59fe582f77,0
c0b29e7e6f55e58afd6b1375cbf8f9d610e870437d847cd52051adc222813a35,0
fadca33dd8395f767e3c1dad2153b9aa48d477826ea00286e5a2f82a615eb9b3,1
635dd29d1ed23b9fdc41bcbc4d3eb8024d14eaab486b063149e23c3cf4ec16cd,0
98e2f3534475085ca83e72327a119d196cf8b462a00d40b89ab34b2e98b249ad,1
0ce1ffc577ccc7365e30ff47c25dc98aea57ae10712ec3d6408ec524e81bcda5,1
d54ce184f0ef86a1ef1843473152a0d69a9b8d769f248475e163761b91417323,1
6f080444b2d7be4d91585dcef68f15f95e7bcbf67ae1138809348992280df2bc,0
58cbc27c20cbc9940257811f73c122a526fe0f77737fbf805b21dae06fd310d5,1
3170e762d7439aa598f47d2401e3ff98955a39c4490f67a6db938e3055941bf3,0
1363e9b1df671fb84885328e24299f0a1834a06804215a9be37486057123121f,1
9b5ad57cc48c6eb312fcdffacb865da868045e61b7a89e28aef99553da577537,0
1197062557b7a845a69971916f1794ffdb7a31c30fcd3263b565c80e77aa4ba2,1
d95358351041d336fbb5f01e892385ff3b04cff76be0a56381c17d83d7e29893,0
5654d1599d5987d3835113d77ff1393225855d502a452ff05faeb279e3b70b4a,1
0dd9798f94be3fb35948dfa2ee79a0470eba6f06390af5dfbac7ae535da9328b,0
294766bf2571205363d99b607ff891c63f7518104193c21d173e432e556995be,0
cad0ba79d4a3f582c520b0ac896f1f7d04a138ef2d8182cb99ab898f0b20639c,1
f8635c78a622f61291620c1d57095b79682c9099e71e65cb05c93e43fa44af97,0
f51c05240aa1a76c8a3700191f4df67c9275bfacf1fa5a26372bce99f717d23e,1
6988b490b261da424dff791037b21f583e9222d238167fedb832c11141343eb1,1
725e04cef8e3ae6b5ba1526ee2adf68b099ba296d58104db782b52c899d686d6,1
098297b5c45405d6af7ee508e85205edf543b4259782953a85dfc10677b79494,0
7803ca353435c24f02399a43386739685ddf0732a0525dd3ddff7bc5ada28464,1
a9f3edfc7dedc7e2498b81a81badd76a357a4079342b7a1312fdfcc74905067a,1
84acd100a81889e1ab25b1cbe2e3184c98aefeb12fc3df8e54e8d6a557b143a9,1
318a7e2722b8c61951bbc06e08941fb5f2a92a4d8dacc56789916f7202f64530,1
3c00ab7ddcc5fb914b179df0d8fd89933ce901c0ddfe3daf52c037f74e5964d4,1
4bbdf665bffcb7089b73062535187f4ed863017a2c96338f2c3135637685c1b2,0
d46eb7c64f71b21a9d48f9c86a7777648cbc69428f06284a8c22e5d30ec61499,1
4c2591b5edaa4bb08d042093b77c55795cb18fac63e9b4822b77671ae070a6cb,1
9e3fac510b0bd1455e4e1b322b5098b3f518755b59df530bda32964063bb6b17,1
51143658a3dc1cc103e904ee76c8c7da1be077be2faf034221777e4f0d346877,1
3d3f24e231c26f38cb1465ba72f324391348f69774f157a2c3390fb7b119ef99,0
84cc3cf539b1f4981ada4ac8f551e565fc79a4af860de2f56b5bbc7dcda3f6fd,1
8b96ead6978592882b51e8bdc662cb01a6b23a9f671efc1155ae43d4ca5e9fce,0
ed05c5cab229f91c57366f7cea46fad9bb48ddf9c8dc6ced69416282ef088c98,1
1ebfde1ab32ef88a10aeaf7220be8a09286ec4c44bd80b8820e0b440c1ba6495,1
655e731106d2d7282fd1f34904c1b5ebf5d10d12bd7e348f4c85a627601db6b2,1
bbb57d2b17138e7b3c71993c8723c1e9cb4faef00b087754fb49d53efc68e3f2,0
0c9ef9e93c24a14a6d0cb6ba8206bca27cd7e1bb3363b897cc1c86b456fb5f2f,0
4045862e371a609bee12cf93413dc2666f6dfa1c0dafb772ea69c6d1c09fa70b,0
492f0f9ca1ae7fd2d613ef9fd185601a969cdac3b12f345ef8ff24be661f4245,0
c31991295ee335c2cdbc6638c2eb7cdccd02f075c054535b46b8048d24a9918c,1
34f4c330e2dfbbb1ba439434390276676a05d3c6cb222b9244b1a66ecdc401f0,1
477ed1694e2d5ebbeba092506d7dfc728ceebcf606778821df45285e13ed6bd7,1
246d0c11fed6695f6422d71fdc12f8b0b788e62fa515f15d377f7fddec202199,1
5b7ab1cc1fdece4fedb8fe7b6582e0d3b2adbac8dce18df3413fd152471d2320,0
e5b6cb8d603dd649055196310b74940db7f022dda23fa51f486bfcb2fbba1538,1
9c48e3504bad37deb6a87218f6e7c381ef174bd4ccd4797eb95647179d84aee9,0
00baf33821d3488406d563d2b0e8ca14efa52d26913390402cb65ed5f64a775c,1
4119502d49b034a3190773e6b4026a2c4b4faeb0c4c3664d7d8778c2b31ca7c9,0
ed38a7a5e3695e4df68b011f62e14cd5378d8ae4b949cde16630875a53f69c3e,1
4c1cc7b61c796796747efbff6b9e52b515af204c5e1a9704bacbf8740b53fe61,0
f3ff96f5daee08da98a3952dae809dab8aeabb214d9a5c2c1c9f9ecd47eb74e7,0
d8e0f19117b2b150b8fcb87c7576a8428caa7ab01d4bdf446707ff5faa21d904,1
cbf886c4c91387e2c64cea37582e89fff0d21c31fb8635b5a227c7aafc31d013,0
c9a005316ff180aba14cfec57c262b389f8c2e527ea92a2768ceaf13edfe5678,1
0fba502b7ac6ed4958a48aef4f5394ddcd83d70cebe026b53c7b2f009faeb05d,1
0c1f4693d5aa858f49f7b5c6c991bdc67c1f74d6f35466d7c4d76c39a97b9843,0
7ae9ec4376f913bd5b2adf7278894749f7d3a85830badaf761eb76cd7165e327,1
417650dfec910965640e4322c716098093bcd4d267145ab9e350b16f0bbd9d70,1
872b85a1b77135b7ea0c75aad5ed40a7e2e3ea8bb27df344a6df3c6247756da4,0
af4ae881c4d2fc85bd8c7b2ec545b2a7f79bf95c22d61823f5d952a5f75f53a9,0
11bf66c71c919ff01e8e095bacfa1cf2ec6260522a134dee42b090298269aef5,0
d9b58342fb19ff1a5573626cd280f2b30e9a1bfbc5776ce1e002474d0a0b6610,1
dbca1ca3379089ccf211c8c701ef5d26348b551664479c299c89ecf579176484,1
311bdb49b701cd302680522c488458510217d84c2e3c1064a588a7b7bcecb03a,0
942dcfc11afaa49ed670f2684a08b1d7825458515621057d79735d6d61f895ef,0
fe73e0f8356f70e89f43c8df1f594302ae3af1cbee06850aad242bd5f7bc8984,1
d83905171ea3ca56b15780bdd1a4da16c12785396d7080e66dd057b6ce68770a,1
01549cfcae67b799b3637958ac00c381f80f8f643566558d4a1ffa00dd8330b3,1
c50237522556e4fa06fe13d9eb1b723501dd7de6cde112482b5bc9c3e6d3b9e4,1
e4f042735f9cc8ec83f4ccdaca9d77a0620e5528c4f9aadd9165f08b0f4e3590,1
5f56b26cb818dc6a01c90ea4ed576b24bacd63685773fb1c63fb7c24123b2c00,1
5316c4743b2b0e0e596bfb6f9c7f35d7f2964d451a795402805d33e10847af64,0
65ac62e73115e979aef15e84af6873a3788f8f6a2d6d166a7888e444568e562d,0
a2fd18e20aad08b506682683220eadca6adab31920028f762463ecbcc06c6c6f,1
27c65ad98a483d7cd3540cdbcc720a5cb9d15c01c6bc0531ba5f406f31dc3013,1
b9b3761df447eefa4a6e091755572083ec72cdc8195d3a44392618dddcb36589,0
714def7609b10a0cd5e30ba3d4e35cda5c3be9f5a844a4d4bc8266b445c9da7f,1
1ccfc0091842ec381df7c82bbd1c1d9bee432f8a45fc2d33565841c4cf914100,0
68de9b1ae5ebf45369dbe440f0459392ed39369dba2ba408b695fd92b72d4814,1
8421fabb58b23d0ca0f6ae8273eaa8f6a79a1e4544e23d243dfe772c0d10fd57,0
f57fba65ea3fbd053b38c1001f7aaf87349222141bf3b31d3c3b2ce419387544,0
776cf53964cdec7b2de6afcd659e94f28aa2cc38f2a5a708d62138217e1f78b6,1
84c81c5df35f9118fa9148f156f9bcb342af749979735d4255a370c3934de762,0
ecac09cd884caaf47e5b8e81017c532a5878f48405429834023c02c1b97e13e9,0
3e1c4ca697187b98dabc4629af9c804bf0acd91df9b131402eb038e6b4a4e6b7,0
cb1dc8a2c6f11d8895e92f26aed58e4786a813e573daede47d83f7ea373c91c6,1
54411d273ece6dfeff136dae3721309508be4f3e7c7dec3a94823d0b7ece1fe0,1
db12d5cdba7aa065a196b19b77380c46eae8c2a27733352760a583a2831f7b5c,0
1029387832237471b8719e483f3d542fa65b007f6a96874cb655a2b3683f94bb,1
6858cf274029920a3caf03b4a901183b527779f7d4a43ab839b3f2eaca5ce69f,1
bbecab5d8d85344f3fe48b439ece2db90ace41cfcdebdbd6209e7be8dff63776,1
5f9072a5b2dbf9133af8be76b16132ed58796e5b413048fe9f089083283ec0ac,0
6f5b3fbabd5bbf6329f60c137d1d5972fd805bbd4f6ac96917738bd9ae1033e0,1
78ef801fdb8f77106befc106e8f2c689cb54d912f1938463593c19bc878488ce,1
5a8972f1d4f857dcdd4f541748e3924f9d36ad8941b1eadf294f4289681a35c5,1
f2e130e65dc3d7386b2d66605dea08adc3f4dbaf01235a3256f6ab55cfbfd9a0,1
fa257ac5cc242a64ef3ef214ff0037420328661c722a5a9571b48ac2cd1e784f,1
217d89a12554277f1bf1194e21b7e83708d9d4c5ab83966119e1952603cc4033,0
268f3a6fb00c656c5bde3a18cdf8da9dab9f964356b60b2211a42133762fa19d,0
2eab7738cefe2882eea3baac3dd6ed24f92c9078a9d475ea42c4174996c37c7b,0
8f56a70f14e0583f13f5350d4ba6bb35f22cac0d99647aace91294d01c8e7d48,0
f1a9ba6be90a656fa0c609db7cc0052910766e8c5aa4aec54fabf6e2d3783947,0
19b99c51a1166327640ed5da5008360f779b1321fe4dc6d2af21b789750254c8,1
e35347836c4da785d7327e2cbeeedcd6977ea1607d55c5692499469c2a8d11b2,0
9e24f80197c560c220bafebce3457f94d187ba948f112effcd555262711f2fb5,1
aa7d3257a252135b5af1c9f95cd387c232555242a017acfb74de6d500af047c6,1
6f739de61dcba852905aa163848f5ed8af7bd442aae69ea820d11856813b1e0d,1
65df6c5ff98954ae49456dd9969fb8af4539a1ffdeae682d40cc1431b6be8c08,1
234cda0ad539668c759a6deea643f26e5ec275b7d7d3a4be93d5e21a0555be95,0
