participant_id,assignment,total_videos,total_adjusted_videos,playlist_videos,all_ai_videos,ai_adjusted_videos,share_ai_adjusted_videos,total_watch_time,total_adjusted_watch_time,playlist_watch_time,all_ai_watch_time,ai_adjusted_watch_time,share_ai_adjusted_watch_time
6397d1dd1b9ebdba9d1b7fb2269d1abce49d09cdf8f9394d310fa7cf34f56d09,Treatment,75,75,0,2,2,0.02666666666666667,58405.342,58405.342,0.0,39.827000000000005,39.827000000000005,0.0006819068022921604
af4ae881c4d2fc85bd8c7b2ec545b2a7f79bf95c22d61823f5d952a5f75f53a9,Control,1456,1456,0,2,2,0.0013736263736263737,490985.299,490985.299,0.0,35.804,35.804,7.292275364032845e-05
1029387832237471b8719e483f3d542fa65b007f6a96874cb655a2b3683f94bb,Treatment,107,107,0,4,4,0.037383177570093455,136246.199,136246.199,0.0,2695.429,2695.429,0.019783517043290143
0b0641dcfcf0efcac2bd6dca1ec1b6c4de3d42c0c4cf45b7d351ccf06cd56193,Treatment,59,59,0,1,1,0.01694915254237288,6877.508,6877.508,0.0,7.0,7.0,0.0010178105209037926
c281cc95f3aecf52b7e6e70fa40dc6934d7ff536dbfb8da57e424ca094bc76c5,Treatment,2891,2891,0,8,8,0.002767208578346593,188262.347,188262.347,0.0,306.933,306.933,0.0016303472515404262
35850b1d37c2e88a3de3c67e3421f322afdff145966ecc64fe24118b531c27de,Control,934,934,0,13,13,0.013918629550321198,169239.196,169239.196,0.0,366.094,366.094,0.0021631750129562184
268f3a6fb00c656c5bde3a18cdf8da9dab9f964356b60b2211a42133762fa19d,Control,1522,1522,0,12,12,0.00788436268068331,195958.749,195958.749,0.0,125.733,125.733,0.0006416299381458084
1363e9b1df671fb84885328e24299f0a1834a06804215a9be37486057123121f,Treatment,192,192,0,0,0,0.0,18082.684,18082.684,0.0,0.0,0.0,0.0
56b760696d7447006998fd2dae738fab7b9d2f3e33d0c549f996ed472cf4eaf9,Control,13,13,0,1,1,0.07692307692307693,16487.993,16487.993,0.0,15.032,15.032,0.0009116937398020487
72151a642e782823ed58360bb68e3ab0f200483f803b4f4ebfe0746a9c75267c,Treatment,3725,3725,0,15,15,0.004026845637583893,178860.668,178860.668,0.0,293.88,293.88,0.0016430666578970844
5316c4743b2b0e0e596bfb6f9c7f35d7f2964d451a795402805d33e10847af64,Control,27,27,0,0,0,0.0,6982.016,6982.016,0.0,0.0,0.0,0.0
8f38d665c4078774b51dc800919d9950fb7b6dbf25ddab0f3a93998288df5ea1,Control,541,541,0,4,4,0.0073937153419593345,279037.9,279037.9,0.0,2314.575,2314.575,0.00829484095171301
05976321398cd4e96fa847e15fe1645759166d286a9f23f31e8e25b19468a5da,Treatment,901,901,0,2,2,0.0022197558268590455,133906.28100000002,133906.28100000002,0.0,4.077,4.077,3.044666739717758e-05
21540f27572d1caca4ff905c999b9dc824b6f2716f3e59df3bbb4f5013b4a146,Control,246,246,0,1,1,0.0040650406504065045,46450.582,46450.582,0.0,16.0,16.0,0.00034445208888878937
1a0462ae4af0e88836c644c620df67e6910f424da08307eb46a7bf7a7a1fba0c,Control,458,458,0,0,0,0.0,525006.315,525006.315,0.0,0.0,0.0,0.0
7803ca353435c24f02399a43386739685ddf0732a0525dd3ddff7bc5ada28464,Treatment,721,721,0,1,1,0.0013869625520110957,38887.473,38887.473,0.0,109.0,109.0,0.002802959194597191
d54ce184f0ef86a1ef1843473152a0d69a9b8d769f248475e163761b91417323,Treatment,74,74,0,2,2,0.02702702702702703,268017.523,268017.523,0.0,29968.0,29968.0,0.11181358466625334
b7414351e89f1928503e8f73647f907bce6ce9dbf5dd1a6e1cf45bdf0ec9b740,Control,346,346,0,4,4,0.011560693641618497,76935.864,76935.864,0.0,123.874,123.874,0.0016100943507958783
9352217318f8693769c4c5e85b6b6bdcc40096d52912ccdb44d89128cc3882a0,Control,129,129,0,4,4,0.031007751937984496,2682.3109999999997,2682.3109999999997,0.0,413.0,413.0,0.15397170574180252
ddc3ac6fdfe42904a72267ba1a576fcce0b3e9a042dbd030d402ad0013be49a9,Treatment,372,372,0,16,16,0.043010752688172046,99479.447,99479.447,0.0,2949.447,2949.447,0.029648807758249802
1caa41bb48baca1373fb09129f3d548a5a4018c27985e58c70ad00a89e2fcc41,Control,484,484,0,2,2,0.004132231404958678,360098.137,360098.137,0.0,24.0,24.0,6.664849810094964e-05
c089b8327c646b64b4da1f3c912db9db157d53413fd2a13d138f25f83c956e30,Control,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,
098297b5c45405d6af7ee508e85205edf543b4259782953a85dfc10677b79494,Control,325,325,0,7,7,0.021538461538461538,94267.55800000002,94267.55800000002,0.0,459.39799999999997,459.39799999999997,0.004873341473426095
98e2f3534475085ca83e72327a119d196cf8b462a00d40b89ab34b2e98b249ad,Treatment,155,155,0,2,2,0.012903225806451613,150260.04,150260.04,0.0,69.734,69.734,0.0004640887890087078
3c00ab7ddcc5fb914b179df0d8fd89933ce901c0ddfe3daf52c037f74e5964d4,Treatment,180,180,0,0,0,0.0,34614.87699999999,34614.87699999999,0.0,0.0,0.0,0.0
e43d44eec7fbb9047fa99085f6d8a48c18836a41b1360f620bb78f9b4d11b7df,Control,546,546,0,4,4,0.007326007326007326,108206.20099999999,108206.20099999999,0.0,54.035,54.035,0.0004993706414293207
d83905171ea3ca56b15780bdd1a4da16c12785396d7080e66dd057b6ce68770a,Treatment,18,18,0,0,0,0.0,708.282,708.282,0.0,0.0,0.0,0.0
aa06182fbb00020ea8ce76a3f59757e4f0baf00eca9617efdc8fcf52d604b88d,Treatment,35,35,0,3,3,0.08571428571428572,8111.019,8111.019,0.0,4527.522,4527.522,0.5581939827782427
8b96ead6978592882b51e8bdc662cb01a6b23a9f671efc1155ae43d4ca5e9fce,Control,12,12,0,0,0,0.0,1699.255,1699.255,0.0,0.0,0.0,0.0
773885a8e592a195d6877406f66dd23d1ce75dc750aa729874430928240f711c,Treatment,2104,2104,0,14,14,0.006653992395437262,447005.803,447005.803,0.0,2080.743,2080.743,0.004654845610583718
3d3f24e231c26f38cb1465ba72f324391348f69774f157a2c3390fb7b119ef99,Control,170,170,0,2,2,0.011764705882352941,85044.112,85044.112,0.0,941.2009999999999,941.2009999999999,0.011067209450079272
5f1ef27b486bee6f0830e5b8af3990c148e42e5f063be0ff21be5e0ee87f5cd9,Control,8,8,0,0,0,0.0,1030.48,1030.48,0.0,0.0,0.0,0.0
