file,ai_count,total_videos,proportion_ai
control_bot_1/all.csv,2,203,0.009852216748768473
control_bot_1/day1.csv,0,40,0.0
control_bot_1/day2.csv,0,39,0.0
control_bot_1/day3.csv,0,41,0.0
control_bot_1/day4.csv,0,42,0.0
control_bot_1/day5.csv,2,41,0.04878048780487805
control_bot_2/all.csv,0,173,0.0
control_bot_2/day1.csv,0,35,0.0
control_bot_2/day2.csv,0,34,0.0
control_bot_2/day3.csv,0,34,0.0
control_bot_2/day4.csv,0,35,0.0
control_bot_2/day5.csv,0,35,0.0
control_bot_3/all.csv,6,169,0.03550295857988166
control_bot_3/day1.csv,2,34,0.058823529411764705
control_bot_3/day2.csv,0,38,0.0
control_bot_3/day3.csv,1,32,0.03125
control_bot_3/day4.csv,1,32,0.03125
control_bot_3/day5.csv,2,33,0.06060606060606061
control_bot_4/all.csv,2,168,0.011904761904761904
control_bot_4/day1.csv,0,34,0.0
control_bot_4/day2.csv,0,34,0.0
control_bot_4/day3.csv,0,34,0.0
control_bot_4/day4.csv,1,34,0.029411764705882353
control_bot_4/day5.csv,1,32,0.03125
treatment_bot_1/all.csv,36,214,0.16822429906542055
treatment_bot_1/day1.csv,7,46,0.15217391304347827
treatment_bot_1/day2.csv,6,45,0.13333333333333333
treatment_bot_1/day3.csv,10,45,0.2222222222222222
treatment_bot_1/day4.csv,5,31,0.16129032258064516
treatment_bot_1/day5.csv,8,47,0.1702127659574468
treatment_bot_2/all.csv,34,202,0.16831683168316833
treatment_bot_2/day1.csv,6,37,0.16216216216216217
treatment_bot_2/day2.csv,7,45,0.15555555555555556
treatment_bot_2/day3.csv,6,42,0.14285714285714285
treatment_bot_2/day4.csv,5,41,0.12195121951219512
treatment_bot_2/day5.csv,10,37,0.2702702702702703
treatment_bot_3/all.csv,19,164,0.11585365853658537
treatment_bot_3/day1.csv,6,32,0.1875
treatment_bot_3/day2.csv,5,37,0.13513513513513514
treatment_bot_3/day3.csv,2,27,0.07407407407407407
treatment_bot_3/day4.csv,2,33,0.06060606060606061
treatment_bot_3/day5.csv,4,35,0.11428571428571428
treatment_bot_4/all.csv,39,190,0.20526315789473684
treatment_bot_4/day1.csv,14,55,0.2545454545454545
treatment_bot_4/day2.csv,10,38,0.2631578947368421
treatment_bot_4/day3.csv,7,33,0.21212121212121213
treatment_bot_4/day4.csv,5,32,0.15625
treatment_bot_4/day5.csv,3,32,0.09375
